grad_norm,loss,loss_q0,loss_q1,loss_q2,loss_q3,mse,mse_q0,mse_q1,mse_q2,mse_q3,samples,step
3.83,0.432,0.616,0.372,0.365,0.375,0.432,0.616,0.372,0.365,0.375,2.19e+06,1.71e+04
3.96,0.418,0.617,0.361,0.339,0.354,0.418,0.617,0.361,0.339,0.354,2.23e+06,1.74e+04
3.92,0.404,0.606,0.348,0.324,0.334,0.404,0.606,0.348,0.324,0.334,2.27e+06,1.77e+04
3.87,0.392,0.598,0.33,0.313,0.327,0.392,0.598,0.33,0.313,0.327,2.3e+06,1.8e+04
4.09,0.386,0.593,0.324,0.309,0.319,0.386,0.593,0.324,0.309,0.319,2.34e+06,1.83e+04
4.02,0.379,0.581,0.317,0.298,0.318,0.379,0.581,0.317,0.298,0.318,2.38e+06,1.86e+04
4.05,0.378,0.583,0.31,0.3,0.319,0.378,0.583,0.31,0.3,0.319,2.42e+06,1.89e+04
4.08,0.376,0.582,0.309,0.297,0.314,0.376,0.582,0.309,0.297,0.314,2.46e+06,1.92e+04
4.21,0.371,0.578,0.308,0.292,0.309,0.371,0.578,0.308,0.292,0.309,2.5e+06,1.95e+04
4.19,0.371,0.576,0.305,0.291,0.308,0.371,0.576,0.305,0.291,0.308,2.53e+06,1.98e+04
4.27,0.37,0.578,0.307,0.291,0.308,0.37,0.578,0.307,0.291,0.308,2.57e+06,2.01e+04
4.31,0.37,0.571,0.306,0.291,0.311,0.37,0.571,0.306,0.291,0.311,2.61e+06,2.04e+04
4.37,0.371,0.581,0.304,0.291,0.312,0.371,0.581,0.304,0.291,0.312,2.65e+06,2.07e+04
4.32,0.371,0.581,0.303,0.288,0.308,0.371,0.581,0.303,0.288,0.308,2.69e+06,2.1e+04
4.22,0.37,0.577,0.308,0.289,0.309,0.37,0.577,0.308,0.289,0.309,2.73e+06,2.13e+04
4.39,0.369,0.575,0.308,0.289,0.307,0.369,0.575,0.308,0.289,0.307,2.76e+06,2.16e+04
4.35,0.372,0.581,0.304,0.291,0.306,0.372,0.581,0.304,0.291,0.306,2.8e+06,2.19e+04
4.35,0.367,0.571,0.303,0.291,0.303,0.367,0.571,0.303,0.291,0.303,2.84e+06,2.22e+04
4.41,0.367,0.571,0.304,0.288,0.31,0.367,0.571,0.304,0.288,0.31,2.88e+06,2.25e+04
4.36,0.369,0.578,0.303,0.291,0.304,0.369,0.578,0.303,0.291,0.304,2.92e+06,2.28e+04
4.49,0.368,0.574,0.302,0.288,0.307,0.368,0.574,0.302,0.288,0.307,2.96e+06,2.31e+04
4.39,0.366,0.568,0.302,0.29,0.307,0.366,0.568,0.302,0.29,0.307,3e+06,2.34e+04
4.41,0.368,0.571,0.305,0.292,0.306,0.368,0.571,0.305,0.292,0.306,3.03e+06,2.37e+04
4.44,0.368,0.579,0.302,0.29,0.303,0.368,0.579,0.302,0.29,0.303,3.07e+06,2.4e+04
4.38,0.365,0.574,0.3,0.285,0.305,0.365,0.574,0.3,0.285,0.305,3.11e+06,2.43e+04
4.57,0.369,0.571,0.305,0.293,0.305,0.369,0.571,0.305,0.293,0.305,3.15e+06,2.46e+04
4.55,0.368,0.576,0.302,0.29,0.304,0.368,0.576,0.302,0.29,0.304,3.19e+06,2.49e+04
4.59,0.37,0.574,0.312,0.292,0.307,0.37,0.574,0.312,0.292,0.307,3.23e+06,2.52e+04
4.59,0.368,0.574,0.303,0.287,0.303,0.368,0.574,0.303,0.287,0.303,3.26e+06,2.55e+04
4.5,0.364,0.565,0.307,0.285,0.301,0.364,0.565,0.307,0.285,0.301,3.3e+06,2.58e+04
4.6,0.366,0.574,0.299,0.287,0.303,0.366,0.574,0.299,0.287,0.303,3.34e+06,2.61e+04
4.57,0.365,0.57,0.303,0.283,0.304,0.365,0.57,0.303,0.283,0.304,3.38e+06,2.64e+04
4.55,0.366,0.575,0.301,0.281,0.306,0.366,0.575,0.301,0.281,0.306,3.42e+06,2.67e+04
4.46,0.366,0.575,0.303,0.284,0.301,0.366,0.575,0.303,0.284,0.301,3.46e+06,2.7e+04
4.59,0.366,0.566,0.307,0.291,0.303,0.366,0.566,0.307,0.291,0.303,3.49e+06,2.73e+04
4.51,0.366,0.572,0.307,0.284,0.304,0.366,0.572,0.307,0.284,0.304,3.53e+06,2.76e+04
4.48,0.364,0.571,0.299,0.284,0.3,0.364,0.571,0.299,0.284,0.3,3.57e+06,2.79e+04
4.54,0.365,0.57,0.301,0.289,0.301,0.365,0.57,0.301,0.289,0.301,3.61e+06,2.82e+04
4.58,0.368,0.572,0.306,0.285,0.302,0.368,0.572,0.306,0.285,0.302,3.65e+06,2.85e+04
4.66,0.367,0.579,0.301,0.284,0.303,0.367,0.579,0.301,0.284,0.303,3.69e+06,2.88e+04
4.54,0.365,0.574,0.304,0.282,0.302,0.365,0.574,0.304,0.282,0.302,3.72e+06,2.91e+04
4.52,0.364,0.575,0.303,0.283,0.298,0.364,0.575,0.303,0.283,0.298,3.76e+06,2.94e+04
4.65,0.364,0.572,0.303,0.289,0.294,0.364,0.572,0.303,0.289,0.294,3.8e+06,2.97e+04
4.57,0.363,0.569,0.302,0.286,0.3,0.363,0.569,0.302,0.286,0.3,3.84e+06,3e+04
4.47,0.362,0.569,0.3,0.284,0.298,0.362,0.569,0.3,0.284,0.298,3.88e+06,3.03e+04
4.65,0.365,0.571,0.302,0.286,0.299,0.365,0.571,0.302,0.286,0.299,3.92e+06,3.06e+04
4.48,0.365,0.565,0.305,0.286,0.305,0.365,0.565,0.305,0.286,0.305,3.96e+06,3.09e+04
4.59,0.364,0.569,0.298,0.281,0.303,0.364,0.569,0.298,0.281,0.303,3.99e+06,3.12e+04
4.61,0.368,0.57,0.306,0.288,0.303,0.368,0.57,0.306,0.288,0.303,4.03e+06,3.15e+04
4.6,0.364,0.568,0.302,0.285,0.299,0.364,0.568,0.302,0.285,0.299,4.07e+06,3.18e+04
4.57,0.364,0.569,0.301,0.284,0.298,0.364,0.569,0.301,0.284,0.298,4.11e+06,3.21e+04
4.57,0.365,0.574,0.304,0.287,0.298,0.365,0.574,0.304,0.287,0.298,4.15e+06,3.24e+04
4.57,0.366,0.568,0.3,0.287,0.304,0.366,0.568,0.3,0.287,0.304,4.19e+06,3.27e+04
4.43,0.359,0.557,0.3,0.284,0.298,0.359,0.557,0.3,0.284,0.298,4.22e+06,3.3e+04
4.66,0.363,0.572,0.3,0.285,0.296,0.363,0.572,0.3,0.285,0.296,4.26e+06,3.33e+04
4.63,0.367,0.571,0.307,0.287,0.303,0.367,0.571,0.307,0.287,0.303,4.3e+06,3.36e+04
4.54,0.364,0.568,0.303,0.284,0.301,0.364,0.568,0.303,0.284,0.301,4.34e+06,3.39e+04
4.58,0.364,0.563,0.304,0.284,0.303,0.364,0.563,0.304,0.284,0.303,4.38e+06,3.42e+04
4.5,0.362,0.568,0.299,0.285,0.297,0.362,0.568,0.299,0.285,0.297,4.42e+06,3.45e+04
4.55,0.364,0.569,0.303,0.284,0.298,0.364,0.569,0.303,0.284,0.298,4.45e+06,3.48e+04
4.6,0.361,0.564,0.3,0.282,0.294,0.361,0.564,0.3,0.282,0.294,4.49e+06,3.51e+04
4.52,0.366,0.575,0.3,0.284,0.301,0.366,0.575,0.3,0.284,0.301,4.53e+06,3.54e+04
4.54,0.364,0.573,0.301,0.282,0.3,0.364,0.573,0.301,0.282,0.3,4.57e+06,3.57e+04
4.46,0.364,0.571,0.306,0.283,0.297,0.364,0.571,0.306,0.283,0.297,4.61e+06,3.6e+04
4.59,0.363,0.569,0.302,0.283,0.299,0.363,0.569,0.302,0.283,0.299,4.65e+06,3.63e+04
4.46,0.363,0.565,0.306,0.286,0.299,0.363,0.565,0.306,0.286,0.299,4.68e+06,3.66e+04
4.53,0.365,0.572,0.304,0.286,0.298,0.365,0.572,0.304,0.286,0.298,4.72e+06,3.69e+04
4.69,0.364,0.574,0.301,0.285,0.297,0.364,0.574,0.301,0.285,0.297,4.76e+06,3.72e+04
4.48,0.359,0.56,0.301,0.28,0.295,0.359,0.56,0.301,0.28,0.295,4.8e+06,3.75e+04
4.58,0.362,0.567,0.3,0.284,0.295,0.362,0.567,0.3,0.284,0.295,4.84e+06,3.78e+04
4.56,0.362,0.564,0.302,0.284,0.299,0.362,0.564,0.302,0.284,0.299,4.88e+06,3.81e+04
4.53,0.363,0.567,0.301,0.288,0.298,0.363,0.567,0.301,0.288,0.298,4.92e+06,3.84e+04
4.57,0.361,0.562,0.307,0.279,0.298,0.361,0.562,0.307,0.279,0.298,4.95e+06,3.87e+04
4.63,0.361,0.561,0.304,0.279,0.3,0.361,0.561,0.304,0.279,0.3,4.99e+06,3.9e+04
4.56,0.359,0.559,0.3,0.282,0.292,0.359,0.559,0.3,0.282,0.292,5.03e+06,3.93e+04
4.6,0.359,0.562,0.301,0.282,0.292,0.359,0.562,0.301,0.282,0.292,5.07e+06,3.96e+04
4.52,0.36,0.56,0.302,0.283,0.297,0.36,0.56,0.302,0.283,0.297,5.11e+06,3.99e+04
4.56,0.36,0.568,0.301,0.279,0.293,0.36,0.568,0.301,0.279,0.293,5.15e+06,4.02e+04
4.47,0.362,0.561,0.3,0.285,0.297,0.362,0.561,0.3,0.285,0.297,5.18e+06,4.05e+04
4.46,0.36,0.561,0.297,0.285,0.297,0.36,0.561,0.297,0.285,0.297,5.22e+06,4.08e+04
4.57,0.359,0.563,0.299,0.279,0.297,0.359,0.563,0.299,0.279,0.297,5.26e+06,4.11e+04
4.51,0.359,0.56,0.297,0.284,0.297,0.359,0.56,0.297,0.284,0.297,5.3e+06,4.14e+04
4.52,0.357,0.556,0.299,0.28,0.293,0.357,0.556,0.299,0.28,0.293,5.34e+06,4.17e+04
4.61,0.361,0.564,0.305,0.278,0.296,0.361,0.564,0.305,0.278,0.296,5.38e+06,4.2e+04
4.49,0.359,0.563,0.305,0.28,0.295,0.359,0.563,0.305,0.28,0.295,5.41e+06,4.23e+04
4.62,0.361,0.564,0.3,0.283,0.294,0.361,0.564,0.3,0.283,0.294,5.45e+06,4.26e+04
4.52,0.36,0.556,0.299,0.282,0.301,0.36,0.556,0.299,0.282,0.301,5.49e+06,4.29e+04
4.63,0.36,0.558,0.302,0.276,0.297,0.36,0.558,0.302,0.276,0.297,5.53e+06,4.32e+04
4.63,0.359,0.568,0.297,0.28,0.294,0.359,0.568,0.297,0.28,0.294,5.57e+06,4.35e+04
4.58,0.36,0.567,0.304,0.276,0.294,0.36,0.567,0.304,0.276,0.294,5.61e+06,4.38e+04
4.48,0.357,0.556,0.295,0.283,0.294,0.357,0.556,0.295,0.283,0.294,5.64e+06,4.41e+04
4.53,0.361,0.561,0.302,0.283,0.295,0.361,0.561,0.302,0.283,0.295,5.68e+06,4.44e+04
4.48,0.36,0.558,0.3,0.283,0.297,0.36,0.558,0.3,0.283,0.297,5.72e+06,4.47e+04
4.47,0.358,0.559,0.298,0.283,0.29,0.358,0.559,0.298,0.283,0.29,5.76e+06,4.5e+04
4.57,0.359,0.56,0.305,0.28,0.294,0.359,0.56,0.305,0.28,0.294,5.8e+06,4.53e+04
4.58,0.358,0.558,0.3,0.277,0.299,0.358,0.558,0.3,0.277,0.299,5.84e+06,4.56e+04
4.49,0.356,0.555,0.301,0.278,0.293,0.356,0.555,0.301,0.278,0.293,5.88e+06,4.59e+04
4.45,0.361,0.564,0.301,0.284,0.296,0.361,0.564,0.301,0.284,0.296,5.91e+06,4.62e+04
4.52,0.356,0.563,0.297,0.276,0.291,0.356,0.563,0.297,0.276,0.291,5.95e+06,4.65e+04
4.33,0.354,0.555,0.294,0.278,0.29,0.354,0.555,0.294,0.278,0.29,5.99e+06,4.68e+04
4.52,0.356,0.561,0.3,0.278,0.29,0.356,0.561,0.3,0.278,0.29,6.03e+06,4.71e+04
4.55,0.357,0.559,0.296,0.28,0.29,0.357,0.559,0.296,0.28,0.29,6.07e+06,4.74e+04
4.46,0.357,0.555,0.299,0.278,0.292,0.357,0.555,0.299,0.278,0.292,6.11e+06,4.77e+04
4.48,0.355,0.557,0.291,0.281,0.292,0.355,0.557,0.291,0.281,0.292,6.14e+06,4.8e+04
4.47,0.357,0.555,0.299,0.278,0.293,0.357,0.555,0.299,0.278,0.293,6.18e+06,4.83e+04
4.43,0.356,0.555,0.295,0.28,0.295,0.356,0.555,0.295,0.28,0.295,6.22e+06,4.86e+04
4.45,0.36,0.566,0.299,0.281,0.294,0.36,0.566,0.299,0.281,0.294,6.26e+06,4.89e+04
4.52,0.356,0.564,0.296,0.274,0.295,0.356,0.564,0.296,0.274,0.295,6.3e+06,4.92e+04
4.47,0.359,0.568,0.302,0.275,0.292,0.359,0.568,0.302,0.275,0.292,6.34e+06,4.95e+04
4.45,0.354,0.553,0.296,0.276,0.29,0.354,0.553,0.296,0.276,0.29,6.37e+06,4.98e+04
4.42,0.358,0.556,0.302,0.282,0.288,0.358,0.556,0.302,0.282,0.288,6.41e+06,5.01e+04
4.41,0.353,0.559,0.295,0.273,0.291,0.353,0.559,0.295,0.273,0.291,6.45e+06,5.04e+04
4.45,0.352,0.55,0.294,0.276,0.285,0.352,0.55,0.294,0.276,0.285,6.49e+06,5.07e+04
4.45,0.351,0.555,0.291,0.274,0.285,0.351,0.555,0.291,0.274,0.285,6.53e+06,5.1e+04
4.52,0.355,0.565,0.293,0.273,0.286,0.355,0.565,0.293,0.273,0.286,6.57e+06,5.13e+04
4.47,0.349,0.552,0.293,0.269,0.282,0.349,0.552,0.293,0.269,0.282,6.6e+06,5.16e+04
4.54,0.35,0.556,0.291,0.27,0.28,0.35,0.556,0.291,0.27,0.28,6.64e+06,5.19e+04
4.66,0.347,0.553,0.288,0.263,0.283,0.347,0.553,0.288,0.263,0.283,6.68e+06,5.22e+04
4.8,0.341,0.546,0.288,0.261,0.273,0.341,0.546,0.288,0.261,0.273,6.72e+06,5.25e+04
4.68,0.339,0.551,0.278,0.255,0.273,0.339,0.551,0.278,0.255,0.273,6.76e+06,5.28e+04
4.65,0.336,0.553,0.274,0.254,0.264,0.336,0.553,0.274,0.254,0.264,6.8e+06,5.31e+04
4.86,0.328,0.549,0.262,0.247,0.257,0.328,0.549,0.262,0.247,0.257,6.84e+06,5.34e+04
4.92,0.319,0.54,0.257,0.231,0.242,0.319,0.54,0.257,0.231,0.242,6.87e+06,5.37e+04
4.97,0.307,0.539,0.241,0.219,0.229,0.307,0.539,0.241,0.219,0.229,6.91e+06,5.4e+04
5.11,0.296,0.532,0.233,0.203,0.219,0.296,0.532,0.233,0.203,0.219,6.95e+06,5.43e+04
5.16,0.29,0.523,0.222,0.196,0.215,0.29,0.523,0.222,0.196,0.215,6.99e+06,5.46e+04
5.15,0.284,0.521,0.218,0.191,0.208,0.284,0.521,0.218,0.191,0.208,7.03e+06,5.49e+04
5.06,0.279,0.519,0.21,0.181,0.211,0.279,0.519,0.21,0.181,0.211,7.07e+06,5.52e+04
5.38,0.276,0.509,0.206,0.18,0.208,0.276,0.509,0.206,0.18,0.208,7.1e+06,5.55e+04
5.38,0.277,0.516,0.201,0.181,0.209,0.277,0.516,0.201,0.181,0.209,7.14e+06,5.58e+04
5.54,0.274,0.514,0.201,0.177,0.203,0.274,0.514,0.201,0.177,0.203,7.18e+06,5.61e+04
5.51,0.271,0.508,0.198,0.176,0.202,0.271,0.508,0.198,0.176,0.202,7.22e+06,5.64e+04
5.56,0.271,0.513,0.198,0.175,0.2,0.271,0.513,0.198,0.175,0.2,7.26e+06,5.67e+04
5.5,0.271,0.509,0.198,0.173,0.201,0.271,0.509,0.198,0.173,0.201,7.3e+06,5.7e+04
5.38,0.267,0.5,0.197,0.174,0.199,0.267,0.5,0.197,0.174,0.199,7.33e+06,5.73e+04
5.61,0.271,0.514,0.197,0.172,0.201,0.271,0.514,0.197,0.172,0.201,7.37e+06,5.76e+04
5.65,0.269,0.509,0.191,0.171,0.199,0.269,0.509,0.191,0.171,0.199,7.41e+06,5.79e+04
5.54,0.267,0.508,0.195,0.172,0.196,0.267,0.508,0.195,0.172,0.196,7.45e+06,5.82e+04
5.57,0.266,0.504,0.196,0.167,0.199,0.266,0.504,0.196,0.167,0.199,7.49e+06,5.85e+04
5.6,0.267,0.505,0.195,0.171,0.196,0.267,0.505,0.195,0.171,0.196,7.53e+06,5.88e+04
5.58,0.266,0.509,0.197,0.166,0.193,0.266,0.509,0.197,0.166,0.193,7.56e+06,5.91e+04
5.76,0.269,0.516,0.196,0.169,0.195,0.269,0.516,0.196,0.169,0.195,7.6e+06,5.94e+04
5.92,0.267,0.51,0.194,0.17,0.195,0.267,0.51,0.194,0.17,0.195,7.64e+06,5.97e+04
5.83,0.267,0.505,0.199,0.167,0.196,0.267,0.505,0.199,0.167,0.196,7.68e+06,6e+04
5.67,0.268,0.515,0.191,0.166,0.197,0.268,0.515,0.191,0.166,0.197,7.72e+06,6.03e+04
5.87,0.265,0.508,0.192,0.163,0.194,0.265,0.508,0.192,0.163,0.194,7.76e+06,6.06e+04
5.72,0.266,0.508,0.193,0.167,0.195,0.266,0.508,0.193,0.167,0.195,7.8e+06,6.09e+04
5.92,0.266,0.508,0.191,0.168,0.198,0.266,0.508,0.191,0.168,0.198,7.83e+06,6.12e+04
5.95,0.268,0.515,0.196,0.167,0.193,0.268,0.515,0.196,0.167,0.193,7.87e+06,6.15e+04
5.75,0.266,0.512,0.192,0.168,0.193,0.266,0.512,0.192,0.168,0.193,7.91e+06,6.18e+04
5.85,0.264,0.502,0.197,0.168,0.192,0.264,0.502,0.197,0.168,0.192,7.95e+06,6.21e+04
5.75,0.265,0.51,0.193,0.164,0.19,0.265,0.51,0.193,0.164,0.19,7.99e+06,6.24e+04
5.81,0.269,0.512,0.197,0.17,0.191,0.269,0.512,0.197,0.17,0.191,8.03e+06,6.27e+04
5.92,0.265,0.508,0.193,0.166,0.19,0.265,0.508,0.193,0.166,0.19,8.06e+06,6.3e+04
5.78,0.266,0.515,0.195,0.165,0.19,0.266,0.515,0.195,0.165,0.19,8.1e+06,6.33e+04
5.78,0.264,0.51,0.192,0.162,0.188,0.264,0.51,0.192,0.162,0.188,8.14e+06,6.36e+04
5.98,0.265,0.515,0.195,0.163,0.189,0.265,0.515,0.195,0.163,0.189,8.18e+06,6.39e+04
5.9,0.263,0.508,0.19,0.164,0.19,0.263,0.508,0.19,0.164,0.19,8.22e+06,6.42e+04
5.78,0.265,0.51,0.194,0.164,0.189,0.265,0.51,0.194,0.164,0.189,8.26e+06,6.45e+04
5.79,0.264,0.505,0.194,0.164,0.189,0.264,0.505,0.194,0.164,0.189,8.29e+06,6.48e+04
5.97,0.265,0.501,0.196,0.169,0.194,0.265,0.501,0.196,0.169,0.194,8.33e+06,6.51e+04
5.88,0.261,0.505,0.192,0.161,0.187,0.261,0.505,0.192,0.161,0.187,8.37e+06,6.54e+04
5.73,0.262,0.508,0.194,0.161,0.188,0.262,0.508,0.194,0.161,0.188,8.41e+06,6.57e+04
5.92,0.264,0.506,0.192,0.168,0.188,0.264,0.506,0.192,0.168,0.188,8.45e+06,6.6e+04
5.93,0.261,0.499,0.195,0.163,0.187,0.261,0.499,0.195,0.163,0.187,8.49e+06,6.63e+04
5.94,0.259,0.502,0.188,0.164,0.184,0.259,0.502,0.188,0.164,0.184,8.52e+06,6.66e+04
6.16,0.263,0.508,0.192,0.166,0.189,0.263,0.508,0.192,0.166,0.189,8.56e+06,6.69e+04
5.94,0.263,0.504,0.192,0.166,0.189,0.263,0.504,0.192,0.166,0.189,8.6e+06,6.72e+04
6.05,0.264,0.511,0.194,0.164,0.186,0.264,0.511,0.194,0.164,0.186,8.64e+06,6.75e+04
5.77,0.264,0.509,0.191,0.166,0.185,0.264,0.509,0.191,0.166,0.185,8.68e+06,6.78e+04
5.77,0.263,0.51,0.194,0.163,0.188,0.263,0.51,0.194,0.163,0.188,8.72e+06,6.81e+04
5.82,0.264,0.511,0.189,0.164,0.189,0.264,0.511,0.189,0.164,0.189,8.76e+06,6.84e+04
5.98,0.265,0.511,0.192,0.165,0.189,0.265,0.511,0.192,0.165,0.189,8.79e+06,6.87e+04
5.92,0.261,0.507,0.193,0.158,0.186,0.261,0.507,0.193,0.158,0.186,8.83e+06,6.9e+04
5.84,0.26,0.501,0.191,0.161,0.187,0.26,0.501,0.191,0.161,0.187,8.87e+06,6.93e+04
5.88,0.261,0.504,0.19,0.161,0.186,0.261,0.504,0.19,0.161,0.186,8.91e+06,6.96e+04
5.89,0.262,0.503,0.193,0.165,0.188,0.262,0.503,0.193,0.165,0.188,8.95e+06,6.99e+04
5.89,0.263,0.504,0.195,0.165,0.187,0.263,0.504,0.195,0.165,0.187,8.99e+06,7.02e+04
6.16,0.262,0.508,0.193,0.162,0.185,0.262,0.508,0.193,0.162,0.185,9.02e+06,7.05e+04
5.95,0.261,0.508,0.192,0.163,0.186,0.261,0.508,0.192,0.163,0.186,9.06e+06,7.08e+04
5.99,0.261,0.501,0.192,0.163,0.182,0.261,0.501,0.192,0.163,0.182,9.1e+06,7.11e+04
6.01,0.263,0.509,0.19,0.164,0.187,0.263,0.509,0.19,0.164,0.187,9.14e+06,7.14e+04
