grad_norm,loss,loss_q0,loss_q1,loss_q2,loss_q3,mse,mse_q0,mse_q1,mse_q2,mse_q3,samples,step

1.85,0.96,0.94,0.985,0.955,0.965,0.96,0.94,0.985,0.955,0.965,128,0
1.24,1.02,1.01,1.02,1.02,1.02,1.02,1.01,1.02,1.02,1.02,3.85e+04,300
1.06,0.975,0.991,0.972,0.97,0.965,0.975,0.991,0.972,0.97,0.965,7.69e+04,600
1.17,0.917,0.945,0.917,0.903,0.905,0.917,0.945,0.917,0.903,0.905,1.15e+05,900
1.3,0.878,0.922,0.87,0.858,0.863,0.878,0.922,0.87,0.858,0.863,1.54e+05,1.2e+03
1.66,0.82,0.885,0.806,0.794,0.794,0.82,0.885,0.806,0.794,0.794,1.92e+05,1.5e+03
1.89,0.753,0.834,0.733,0.72,0.725,0.753,0.834,0.733,0.72,0.725,2.31e+05,1.8e+03
2.14,0.711,0.817,0.681,0.666,0.68,0.711,0.817,0.681,0.666,0.68,2.69e+05,2.1e+03
2.36,0.692,0.793,0.654,0.652,0.669,0.692,0.793,0.654,0.652,0.669,3.07e+05,2.4e+03
2.5,0.675,0.783,0.636,0.631,0.649,0.675,0.783,0.636,0.631,0.649,3.46e+05,2.7e+03
2.74,0.649,0.78,0.605,0.597,0.617,0.649,0.78,0.605,0.597,0.617,3.84e+05,3e+03
2.86,0.612,0.743,0.567,0.567,0.574,0.612,0.743,0.567,0.567,0.574,4.23e+05,3.3e+03
3.02,0.593,0.729,0.546,0.545,0.555,0.593,0.729,0.546,0.545,0.555,4.61e+05,3.6e+03
3.01,0.595,0.725,0.54,0.548,0.569,0.595,0.725,0.54,0.548,0.569,4.99e+05,3.9e+03
3.11,0.592,0.725,0.544,0.538,0.558,0.592,0.725,0.544,0.538,0.558,5.38e+05,4.2e+03
3.05,0.586,0.716,0.534,0.534,0.559,0.586,0.716,0.534,0.534,0.559,5.76e+05,4.5e+03
3.1,0.585,0.719,0.533,0.536,0.554,0.585,0.719,0.533,0.536,0.554,6.15e+05,4.8e+03
3.03,0.583,0.717,0.532,0.538,0.551,0.583,0.717,0.532,0.538,0.551,6.53e+05,5.1e+03
3.18,0.584,0.724,0.526,0.535,0.553,0.584,0.724,0.526,0.535,0.553,6.91e+05,5.4e+03
3.11,0.58,0.707,0.533,0.531,0.55,0.58,0.707,0.533,0.531,0.55,7.3e+05,5.7e+03
3.14,0.583,0.722,0.528,0.535,0.548,0.583,0.722,0.528,0.535,0.548,7.68e+05,6e+03
3.14,0.58,0.709,0.528,0.528,0.55,0.58,0.709,0.528,0.528,0.55,8.07e+05,6.3e+03
3.1,0.579,0.716,0.525,0.526,0.548,0.579,0.716,0.525,0.526,0.548,8.45e+05,6.6e+03
3.2,0.574,0.712,0.522,0.525,0.534,0.574,0.712,0.522,0.525,0.534,8.83e+05,6.9e+03
3.23,0.574,0.718,0.52,0.524,0.535,0.574,0.718,0.52,0.524,0.535,9.22e+05,7.2e+03
3.12,0.561,0.701,0.51,0.51,0.521,0.561,0.701,0.51,0.51,0.521,9.6e+05,7.5e+03
3.24,0.546,0.698,0.498,0.482,0.504,0.546,0.698,0.498,0.482,0.504,9.99e+05,7.8e+03
3.34,0.511,0.671,0.457,0.448,0.465,0.511,0.671,0.457,0.448,0.465,1.04e+06,8.1e+03
3.51,0.484,0.646,0.431,0.421,0.438,0.484,0.646,0.431,0.421,0.438,1.08e+06,8.4e+03
3.62,0.484,0.644,0.423,0.423,0.445,0.484,0.644,0.423,0.423,0.445,1.11e+06,8.7e+03
3.6,0.478,0.635,0.417,0.417,0.442,0.478,0.635,0.417,0.417,0.442,1.15e+06,9e+03
3.61,0.482,0.649,0.421,0.417,0.441,0.482,0.649,0.421,0.417,0.441,1.19e+06,9.3e+03
3.64,0.476,0.64,0.412,0.412,0.439,0.476,0.64,0.412,0.412,0.439,1.23e+06,9.6e+03
3.67,0.479,0.645,0.419,0.418,0.434,0.479,0.645,0.419,0.418,0.434,1.27e+06,9.9e+03
3.73,0.474,0.637,0.419,0.412,0.428,0.474,0.637,0.419,0.412,0.428,1.31e+06,1.02e+04
3.69,0.475,0.647,0.413,0.416,0.424,0.475,0.647,0.413,0.416,0.424,1.34e+06,1.05e+04
3.66,0.473,0.636,0.413,0.414,0.431,0.473,0.636,0.413,0.414,0.431,1.38e+06,1.08e+04
3.67,0.475,0.641,0.416,0.414,0.43,0.475,0.641,0.416,0.414,0.43,1.42e+06,1.11e+04
3.69,0.473,0.636,0.415,0.409,0.43,0.473,0.636,0.415,0.409,0.43,1.46e+06,1.14e+04
3.7,0.475,0.641,0.415,0.414,0.43,0.475,0.641,0.415,0.414,0.43,1.5e+06,1.17e+04
3.6,0.47,0.635,0.413,0.41,0.425,0.47,0.635,0.413,0.41,0.425,1.54e+06,1.2e+04
3.64,0.47,0.634,0.416,0.411,0.423,0.47,0.634,0.416,0.411,0.423,1.57e+06,1.23e+04
3.63,0.47,0.633,0.409,0.408,0.428,0.47,0.633,0.409,0.408,0.428,1.61e+06,1.26e+04
3.69,0.469,0.63,0.415,0.407,0.423,0.469,0.63,0.415,0.407,0.423,1.65e+06,1.29e+04
3.64,0.469,0.631,0.416,0.406,0.423,0.469,0.631,0.416,0.406,0.423,1.69e+06,1.32e+04
3.58,0.465,0.622,0.414,0.409,0.417,0.465,0.622,0.414,0.409,0.417,1.73e+06,1.35e+04
3.58,0.471,0.636,0.414,0.408,0.427,0.471,0.636,0.414,0.408,0.427,1.77e+06,1.38e+04
3.67,0.467,0.633,0.412,0.407,0.416,0.467,0.633,0.412,0.407,0.416,1.8e+06,1.41e+04
3.62,0.465,0.627,0.414,0.402,0.42,0.465,0.627,0.414,0.402,0.42,1.84e+06,1.44e+04
3.66,0.467,0.635,0.411,0.403,0.424,0.467,0.635,0.411,0.403,0.424,1.88e+06,1.47e+04
3.69,0.466,0.634,0.41,0.401,0.422,0.466,0.634,0.41,0.401,0.422,1.92e+06,1.5e+04
3.68,0.462,0.623,0.407,0.401,0.415,0.462,0.623,0.407,0.401,0.415,1.96e+06,1.53e+04
3.62,0.461,0.623,0.408,0.399,0.414,0.461,0.623,0.408,0.399,0.414,2e+06,1.56e+04
3.61,0.46,0.632,0.407,0.394,0.408,0.46,0.632,0.407,0.394,0.408,2.04e+06,1.59e+04
3.71,0.454,0.62,0.402,0.39,0.402,0.454,0.62,0.402,0.39,0.402,2.07e+06,1.62e+04
3.73,0.448,0.627,0.394,0.379,0.393,0.448,0.627,0.394,0.379,0.393,2.11e+06,1.65e+04
3.82,0.443,0.618,0.392,0.377,0.383,0.443,0.618,0.392,0.377,0.383,2.15e+06,1.68e+04
